,Code du département,Libellé du département,taux de sous-éducation 2020
0,01,Ain,19.8
1,03,Allier,24.4
2,04,Alpes-de-Haute-Provence,19.5
3,05,Hautes-Alpes,16.6
4,06,Alpes-Maritimes,20.0
5,07,Ardèche,21.6
6,09,Ariège,20.8
7,11,Aude,22.2
8,12,Aveyron,21.5
9,13,Bouches-du-Rhône,21.3
10,15,Cantal,23.5
11,16,Charente,22.9
12,17,Charente-Maritime,20.8
13,19,Corrèze,21.3
14,23,Creuse,24.1
15,24,Dordogne,23.4
16,26,Drôme,21.1
17,2A,Corse-du-Sud,19.9
18,2B,Haute-Corse,23.0
19,30,Gard,22.2
20,31,Haute-Garonne,14.4
21,32,Gers,22.0
22,33,Gironde,17.0
23,34,Hérault,19.0
24,38,Isère,19.2
25,40,Landes,19.3
26,42,Loire,23.5
27,43,Haute-Loire,20.8
28,44,Loire-Atlantique,15.5
29,46,Lot,20.6
30,47,Lot-et-Garonne,25.0
31,48,Lozère,20.7
32,49,Maine-et-Loire,22.3
33,53,Mayenne,25.6
34,63,Puy-de-Dôme,19.0
35,64,Pyrénées-Atlantiques,16.3
36,65,Hautes-Pyrénées,19.5
37,66,Pyrénées-Orientales,22.2
38,69,Rhône,18.4
39,72,Sarthe,24.4
40,73,Savoie,17.0
41,74,Haute-Savoie,16.5
42,79,Deux-Sèvres,23.8
43,81,Tarn,22.4
44,82,Tarn-et-Garonne,23.8
45,83,Var,19.4
46,84,Vaucluse,23.4
47,85,Vendée,21.6
48,86,Vienne,21.4
49,87,Haute-Vienne,21.4
50,971,Guadeloupe,33.5
51,972,Martinique,31.3
52,973,Guyane,45.4
53,974,La Réunion,36.9
